

words_alpha mat1 temp1 chs0:
<lizing>  [<|li|z|ing|>]
<exts>  [<|ex|ts|>]
<ruptutphotiatyrd>  [<|rupt|ut|phot|ia|ty|rd|>]
<uleairth>  [<|ul|ea|ir|th|>]
<padia>  [<|pa|dia|>]
<haim>  [<|ha|im|>]
<to>  [<|to|>]
<vehe>  [<|ve|he|>]
<portlocontraatio>  [<|port|lo|contra|atio|>]
<beneflec>  [<|bene|flec|>]
<con>  [<|con|>]
<opmetr>  [<|op|metr|>]
<mimo>  [<|mi|mo|>]
<ionkeent>  [<|ion|ke|ent|>]
<gepots>  [<|ge|po|ts|>]
<tude>  [<|tude|>]
<blaryest>  [<|bl|ary|est|>]
<ousmalnessro>  [<|ous|mal|ness|ro|>]
<junction>  [<|junct|ion|>]
<mono>  [<|mono|>]
<hydroccapturescope>  [<|hydr|oc|capt|ure|scope|>]
<ize>  [<|ize|>]
<torieoorjunction>  [<|tor|ie|o|or|junct|ion|>]
<ge>  [<|ge|>]
<graphary>  [<|graph|ary|>]

mit mat1 temp5 chs0:
<ciare>  [<|ci|a|r|e|>]
<sue>  [<|su|e|>]
<ghonsis>  [<|g|h|on|si|s|>]
<holandemi>  [<|ho|l|an|d|em|i|>]
<nester>  [<|ne|s|ter|>]
<eboars>  [<|e|bo|ar|s|>]
<ceed>  [<|ce|ed|>]
<trenhait>  [<|tr|en|ha|it|>]
<unesti>  [<|un|es|t|i|>]
<nscripts>  [<|n|script|s|>]
<war>  [<|w|ar|>]
<scre>  [<|sc|re|>]
<ged>  [<|g|e|d|>]
<us>  [<|us|>]
<zation>  [<|z|ation|>]
<mission>  [<|mis|si|on|>]
<ne>  [<|ne|>]
<tiongradentaine>  [<|ti|on|gr|ad|en|t|ai|ne|>]
<spectivecably>  [<|sp|ect|ive|ca|bl|y|>]
<displysicor>  [<|dis|pl|y|si|c|or|>]
<ficceshous>  [<|fi|c|ce|s|ho|us|>]
<figh>  [<|f|ig|h|>]
<mattering>  [<|m|at|te|ri|ng|>]
<jontriting>  [<|j|on|tr|i|tin|g|>]
<mes>  [<|me|s|>]

mit mat1 temp5 chs10:
<ebl>  [<|e|bl|>]
<ctmisrecontrary>  [<|ct|mis|re|contra|ry|>]
<triiseantialbenefi>  [<|tri|ise|anti|al|bene|fi|>]
<phobiam>  [<|phobia|m|>]
<multi>  [<|multi|>]
<tedagtret>  [<|ted|ag|tr|et|>]
<thermal>  [<|therm|al|>]
<ism>  [<|ism|>]
<tionicshom>  [<|tion|ic|sh|om|>]
<cal>  [<|ca|l|>]
<ngigin>  [<|ng|ig|in|>]
<pel>  [<|pel|>]
<ntot>  [<|nt|ot|>]
<mono>  [<|mono|>]
<blcketist>  [<|bl|ck|et|ist|>]
<nethpomicrophony>  [<|ne|th|po|micro|phon|y|>]
<ationpa>  [<|ation|pa|>]
<captureteless>  [<|capt|ure|te|less|>]
<tin>  [<|tin|>]
<vertiste>  [<|vert|is|te|>]
<cept>  [<|cept|>]
<ntulizepre>  [<|nt|ul|ize|pre|>]
<pulse>  [<|puls|e|>]
<entwho>  [<|ent|w|ho|>]
<ceptions>  [<|cept|ions|>]

mit mat1 temp5 chs50:
<procicredw>  [<|pro|ci|cred|w|>]
<ol>  [<|ol|>]
<anochood>  [<|an|oc|hood|>]
<ba>  [<|ba|>]
<idcolnt>  [<|id|col|nt|>]
<bhespclta>  [<|b|he|sp|cl|ta|>]
<tstele>  [<|ts|tele|>]
<ou>  [<|ou|>]
<ate>  [<|ate|>]
<credti>  [<|cred|ti|>]
<unv>  [<|un|v|>]
<ojtrject>  [<|o|j|tr|ject|>]
<anjecthe>  [<|an|ject|he|>]
<ce>  [<|ce|>]
<ous>  [<|ous|>]
<opagestfac>  [<|op|ag|est|fac|>]
<si>  [<|si|>]
<opimcrw>  [<|op|im|cr|w|>]
<bauschtri>  [<|ba|us|ch|tri|>]
<port>  [<|port|>]
<pro>  [<|pro|>]
<vmo>  [<|v|mo|>]
<arcti>  [<|ar|cti|>]
<rssi>  [<|rs|si|>]
<ustor>  [<|us|tor|>]

mit mat2 temp1 chs0:
<<particle>>  [<|<|pa|rt|ic|le|>|>]
<<sburg>>  [<|<|s|b|ur|g|>|>]
<<phase>>  [<|<|p|ha|se|>|>]
<<sociated>>  [<|<|so|ci|ate|d|>|>]
<<rely>>  [<|<|re|ly|>|>]
<<sets>>  [<|<|se|ts|>|>]
<<sparent>>  [<|<|sp|ar|ent|>|>]
<<finding>>  [<|<|fi|nd|ing|>|>]
<<pollution>>  [<|<|po|ll|ut|ion|>|>]
<<mdgar>>  [<|<|m|d|ga|r|>|>]
<<thef>>  [<|<|th|e|f|>|>]
<<requote>>  [<|<|re|q|u|ot|e|>|>]
<<kit>>  [<|<|k|it|>|>]
<<reform>>  [<|<|re|form|>|>]
<<residentiumph>>  [<|<|res|id|ent|i|u|mp|h|>|>]
<<pretty>>  [<|<|pre|t|ty|>|>]
<<garling>>  [<|<|ga|r|li|ng|>|>]
<<wrest>>  [<|<|w|res|t|>|>]
<<soma>>  [<|<|so|ma|>|>]
<<speak>>  [<|<|sp|ea|k|>|>]
<<count>>  [<|<|co|un|t|>|>]
<<sponse>>  [<|<|sp|ons|e|>|>]
<<munication>>  [<|<|m|uni|ca|tion|>|>]
<<deliversstrultecountertransnship>>  [<|<|de|li|vers|stru|l|te|counter|trans|ns|hi|p|>|>]
<<determination>>  [<|<|de|ter|mi|na|tion|>|>]

mit mat2 temp1 chs10:
<<daatiaquaalctiecmpcephonmeterlogyitar>>  [<|<|da|ati|aqua|al|cti|ec|mp|ce|phon|meter|logy|it|ar|>|>]
<<crablestushow>>  [<|<|cr|able|st|us|ho|w|>|>]
<<stvertmultiicq>>  [<|<|st|vert|multi|ic|q|>|>]
<<chteleishcetinscopeectudeflecgeityolo>>  [<|<|ch|tele|ish|ce|tin|scope|ec|tude|flec|ge|ity|o|lo|>|>]
<<saagemultitransussap>>  [<|<|sa|age|multi|trans|us|sa|p|>|>]
<<anverscomniistirdiaquafulcoishchase>>  [<|<|an|vers|com|ni|ist|ir|di|aqua|ful|co|ish|ch|as|e|>|>]
<<shresncestruarorability>>  [<|<|sh|res|nce|stru|ar|or|ab|il|ity|>|>]
<<platforms>>  [<|<|pl|at|form|s|>|>]
<<timitflecacirapture>>  [<|<|ti|mit|flec|ac|ir|ap|tu|re|>|>]
<<iaabletudehomvkebepoattionacnhydrpeiadisdaersdaatmispect>>  [<|<|ia|able|tude|hom|v|ke|be|po|at|tion|ac|n|hydr|pe|ia|dis|da|ers|da|at|mi|sp|ect|>|>]
<<lisubshabrdowismentatelara>>  [<|<|li|sub|sh|ab|rd|ow|ism|ent|ate|la|ra|>|>]
<<hi>>  [<|<|hi|>|>]
<<vinock>>  [<|<|vi|no|ck|>|>]
<<notation>>  [<|<|no|ta|tion|>|>]
<<actinsrtgage>>  [<|<|a|cti|ns|rt|ga|ge|>|>]
<<vqtioexjecticlessndate>>  [<|<|v|q|tio|ex|ject|ic|less|nd|ate|>|>]
<<woman>>  [<|<|w|om|an|>|>]
<<commonomapolywns>>  [<|<|com|mono|ma|poly|w|ns|>|>]
<<himonopimusorce>>  [<|<|hi|mono|p|im|us|or|ce|>|>]
<<stneetely>>  [<|<|st|ne|et|el|y|>|>]
<<phportmpmalchronbend>>  [<|<|p|h|port|mp|mal|chron|be|nd|>|>]
<<scckamhomentmetrmointertt>>  [<|<|sc|ck|am|ho|ment|metr|mo|inter|t|t|>|>]
<<pressure>>  [<|<|press|ure|>|>]
<<toronton>>  [<|<|tor|on|to|n|>|>]
<<re>>  [<|<|re|>|>]

mit mat2 temp1 chs50:
<<conurpressismenttres>>  [<|<|con|ur|press|is|ment|t|res|>|>]
<<ot>>  [<|<|ot|>|>]
<<haadhiionsrscboniliberia>>  [<|<|ha|ad|hi|ions|rs|c|bo|ni|li|be|ri|a|>|>]
<<icncclgaectsive>>  [<|<|ic|nc|cl|ga|ect|si|ve|>|>]
<<ad>>  [<|<|ad|>|>]
<<heim>>  [<|<|he|im|>|>]
<<ocmiscopetionprmetrracaptionportfacsca>>  [<|<|oc|mi|scope|tion|pr|metr|ra|capt|ion|port|fac|s|ca|>|>]
<<colbevitoruiblezivneprsottionima>>  [<|<|col|be|vi|tor|u|ible|z|iv|ne|p|rs|ot|tion|im|a|>|>]
<<mal>>  [<|<|mal|>|>]
<<maunintraowell>>  [<|<|ma|un|intra|ow|el|l|>|>]
<<sodadivertctpelantdicanti>>  [<|<|so|da|di|vert|ct|pel|ant|dic|ant|i|>|>]
<<waapndgscopebaechronivehoodianmisjunctcomnceapsidamicroerscounterlogyusfaciveeportscmain>>  [<|<|wa|ap|nd|g|scope|ba|e|chron|ive|hood|ian|mis|junct|com|nce|ap|si|da|micro|ers|counter|logy|us|fac|iv|ee|port|sc|ma|in|>|>]
<<chdiaresscribations>>  [<|<|ch|dia|res|scrib|ation|s|>|>]
<<kneric>>  [<|<|k|ne|ri|c|>|>]
<<beeeclunihafieaouacibletractdissix>>  [<|<|be|ee|cl|uni|ha|fi|ea|ou|ac|ible|tract|dis|si|x|>|>]
<<proscresionscinits>>  [<|<|pro|sc|res|ions|ci|ni|ts|>|>]
<<bapldiaemulsa>>  [<|<|ba|pl|dia|em|ul|sa|>|>]
<<fiigcttractplunter>>  [<|<|fi|ig|ct|tract|pl|un|ter|>|>]
<<hpolyveionsfmitomy>>  [<|<|h|poly|ve|ions|f|mit|om|y|>|>]
<<mo>>  [<|<|mo|>|>]
<<pacadillac>>  [<|<|pa|ca|di|ll|ac|>|>]
<<qmecoliveportcredrsismllckrdadtuecmenomma>>  [<|<|q|me|col|ive|port|cred|rs|ism|ll|ck|rd|ad|tu|ec|men|om|ma|>|>]
<<bi>>  [<|<|bi|>|>]
<<resdt>>  [<|<|res|d|t|>|>]
<<oportionapfpifacarb>>  [<|<|op|or|tion|ap|f|pi|fac|ar|b|>|>]

mit mat2 temp2 chs0:
<<discover>>  [<|<|dis|co|ver|>|>]
<<stablisher>>  [<|<|st|ab|li|sh|er|>|>]
<<filters>>  [<|<|fi|l|ter|s|>|>]
<<atmosphere>>  [<|<|at|mo|sp|he|re|>|>]
<<farmer>>  [<|<|f|ar|me|r|>|>]
<<chemes>>  [<|<|ch|em|es|>|>]
<<go>>  [<|<|g|o|>|>]
<<ye>>  [<|<|y|e|>|>]
<<pameland>>  [<|<|pa|me|la|nd|>|>]
<<beastial>>  [<|<|be|as|ti|al|>|>]
<<hashdicometrecngblflick>>  [<|<|ha|sh|di|co|metr|ec|ng|bl|f|li|ck|>|>]
<<determinolta>>  [<|<|de|ter|mi|no|l|ta|>|>]
<<bargan>>  [<|<|ba|r|ga|n|>|>]
<<connectivities>>  [<|<|con|ne|cti|vi|ti|es|>|>]
<<steve>>  [<|<|st|e|ve|>|>]
<<updas>>  [<|<|u|p|da|s|>|>]
<<unfort>>  [<|<|un|fo|rt|>|>]
<<beautifully>>  [<|<|be|aut|i|ful|ly|>|>]
<<emplate>>  [<|<|em|pl|ate|>|>]
<<marshallen>>  [<|<|ma|rs|ha|ll|en|>|>]
<<earned>>  [<|<|ea|r|ne|d|>|>]
<<lists>>  [<|<|li|st|s|>|>]
<<parable>>  [<|<|pa|ra|bl|e|>|>]
<<firew>>  [<|<|fi|re|w|>|>]
<<sin>>  [<|<|si|n|>|>]

mit mat2 temp2 chs10:
<<propsychfifondtapasspelulpressonfulhoruptmiss>>  [<|<|pro|psych|fi|fo|nd|ta|pass|pel|ul|press|on|ful|ho|rupt|mis|s|>|>]
<<lo>>  [<|<|lo|>|>]
<<reizearycountertuedtuleckku>>  [<|<|re|ize|ary|counter|tu|ed|tu|le|ck|k|u|>|>]
<<thlessbilesscaptlocolrestyeas>>  [<|<|th|less|bi|less|capt|lo|col|res|ty|ea|s|>|>]
<<conside>>  [<|<|con|si|de|>|>]
<<stmicroprintable>>  [<|<|st|micro|pr|in|ta|bl|e|>|>]
<<near>>  [<|<|ne|ar|>|>]
<<pabenepscribrself>>  [<|<|pa|bene|p|scrib|rs|el|f|>|>]
<<makes>>  [<|<|ma|ke|s|>|>]
<<bihopanphonizepiingterionsunirdpassagmomicrotiionsionsiveotrasizoodisssor>>  [<|<|bi|ho|pan|phon|ize|pi|ing|ter|ions|uni|rd|pass|ag|mo|micro|ti|ions|ions|ive|ot|ra|si|zoo|dis|ss|or|>|>]
<<unions>>  [<|<|uni|ons|>|>]
<<wten>>  [<|<|w|te|n|>|>]
<<suniscriptintraacscopelessmaldaloammacrorabeirianbioucaptpljunctiahomtertocountershippaphotompressed>>  [<|<|su|ni|script|intra|ac|scope|less|mal|da|lo|am|macro|ra|be|ir|ian|bi|ou|capt|pl|junct|ia|hom|ter|to|counter|ship|pa|phot|om|press|ed|>|>]
<<depibantidethermabletapllograd>>  [<|<|de|pi|b|anti|de|therm|able|ta|pl|lo|gr|ad|>|>]
<<hocomtricensus>>  [<|<|ho|com|tri|ce|ns|us|>|>]
<<stransshchbagradmentransexual>>  [<|<|s|trans|sh|ch|ba|grad|men|trans|ex|u|al|>|>]
<<ether>>  [<|<|et|he|r|>|>]
<<cafimentnscious>>  [<|<|ca|fi|ment|n|sc|io|us|>|>]
<<bisenesstractismitgressteraincsubndastrndtrifacaha>>  [<|<|bi|se|ness|tract|is|mit|gress|ter|ai|nc|sub|nd|astr|nd|tri|fac|a|ha|>|>]
<<inrichmond>>  [<|<|in|ri|ch|mo|nd|>|>]
<<anatioesterscredoocontrasaiblespirectiprtiutontinum>>  [<|<|an|atio|est|ers|cred|oo|contra|sa|ible|spire|cti|pr|ti|ut|on|tin|u|m|>|>]
<<stpierspitransurssnebenemot>>  [<|<|st|pi|ers|pi|trans|ur|ss|ne|bene|m|ot|>|>]
<<jmimericalpulsmichael>>  [<|<|j|mi|me|ri|ca|l|puls|mi|ch|a|el|>|>]
<<betssers>>  [<|<|be|ts|s|ers|>|>]
<<boscribntplruptceptpolyshipphotpolytudeelcaptrofleconspsychatbenesttibeneliability>>  [<|<|bo|scrib|nt|pl|rupt|cept|poly|ship|phot|poly|tude|el|capt|ro|flec|ons|psych|at|bene|st|ti|bene|li|ab|il|ity|>|>]

mit mat2 temp2 chs50:
<<lepsychexico>>  [<|<|le|psych|ex|ic|o|>|>]
<<sehydragunilessthermabishoncidesubar>>  [<|<|se|hydr|ag|uni|less|therm|ab|ish|on|cide|su|ba|r|>|>]
<<ul>>  [<|<|ul|>|>]
<<kmargrou>>  [<|<|k|ma|r|gr|ou|>|>]
<<detraterersfoctibal>>  [<|<|de|tra|ter|ers|fo|cti|ba|l|>|>]
<<mecaptorlidicmacroaispiremalmature>>  [<|<|me|capt|or|li|dic|macro|ai|spire|mal|ma|tu|re|>|>]
<<preuniadtudehompirtzceptllceptkansa>>  [<|<|pre|uni|ad|tude|hom|pi|rt|z|cept|ll|cept|k|an|sa|>|>]
<<ac>>  [<|<|ac|>|>]
<<de>>  [<|<|de|>|>]
<<oc>>  [<|<|oc|>|>]
<<chived>>  [<|<|ch|ive|d|>|>]
<<siotilveingcideformniocurpathunizoosomiteply>>  [<|<|si|ot|il|ve|ing|cide|form|ni|oc|ur|path|uni|zoo|so|mit|ep|ly|>|>]
<<id>>  [<|<|id|>|>]
<<shurjecteebs>>  [<|<|sh|ur|ject|ee|b|s|>|>]
<<platforms>>  [<|<|pl|at|form|s|>|>]
<<tiidisthise>>  [<|<|ti|id|ist|h|ise|>|>]
<<chunterntnstutocoviintramisrepeldiprec>>  [<|<|ch|un|ter|nt|ns|tu|to|co|vi|intra|mis|re|pel|di|pr|ec|>|>]
<<pgor>>  [<|<|p|g|or|>|>]
<<bo>>  [<|<|bo|>|>]
<<dis>>  [<|<|dis|>|>]
<<joucomscopeflecdicdepinoncligaret>>  [<|<|j|ou|com|scope|flec|dic|de|pi|non|cl|ig|ar|et|>|>]
<<prouders>>  [<|<|pro|u|d|ers|>|>]
<<deunanticlchronstruarhitervertroaryaps>>  [<|<|de|un|anti|cl|chron|stru|ar|hi|ter|vert|ro|ary|ap|s|>|>]
<<de>>  [<|<|de|>|>]
<<pemeans>>  [<|<|pe|m|ea|ns|>|>]

mit mat2 temp5 chs0:
<<hum>>  [<|<|h|u|m|>|>]
<<accommon>>  [<|<|ac|com|mo|n|>|>]
<<gave>>  [<|<|ga|ve|>|>]
<<mails>>  [<|<|ma|il|s|>|>]
<<measury>>  [<|<|me|as|ur|y|>|>]
<<bulgarian>>  [<|<|b|ul|ga|ri|an|>|>]
<<shore>>  [<|<|sh|or|e|>|>]
<<holidated>>  [<|<|ho|li|da|ted|>|>]
<<arrow>>  [<|<|ar|ro|w|>|>]
<<cal>>  [<|<|ca|l|>|>]
<<entertake>>  [<|<|ent|er|ta|ke|>|>]
<<wifty>>  [<|<|w|i|f|ty|>|>]
<<shef>>  [<|<|sh|e|f|>|>]
<<packet>>  [<|<|pa|ck|et|>|>]
<<bute>>  [<|<|b|ut|e|>|>]
<<ultiple>>  [<|<|ul|ti|pl|e|>|>]
<<ange>>  [<|<|an|ge|>|>]
<<dispository>>  [<|<|dis|po|si|tor|y|>|>]
<<thew>>  [<|<|th|e|w|>|>]
<<drawing>>  [<|<|d|ra|w|ing|>|>]
<<orient>>  [<|<|or|ie|nt|>|>]
<<weaponts>>  [<|<|w|ea|po|n|ts|>|>]
<<telecommunist>>  [<|<|tele|com|m|uni|st|>|>]
<<introducing>>  [<|<|in|tr|o|d|u|ci|ng|>|>]
<<beach>>  [<|<|be|ac|h|>|>]

mit mat2 temp5 chs10:
<<inthermvitrployflexgeqableasropathapulsmicroramento>>  [<|<|in|therm|vi|tr|pl|o|y|flex|ge|q|able|as|ro|path|a|puls|micro|ra|ment|o|>|>]
<<dpulsigfuleaibles>>  [<|<|d|puls|ig|ful|ea|ible|s|>|>]
<<bmacroblncemonoitpelmazooicplfionsportmamicrotinlysis>>  [<|<|b|macro|bl|nce|mono|it|pel|ma|zoo|ic|pl|f|ions|port|ma|micro|tin|ly|si|s|>|>]
<<cul>>  [<|<|c|ul|>|>]
<<vi>>  [<|<|vi|>|>]
<<literaction>>  [<|<|li|ter|ac|tion|>|>]
<<bo>>  [<|<|bo|>|>]
<<sibility>>  [<|<|si|bi|li|ty|>|>]
<<plagedicantinessmpstrujunctinbafngjectscopeoweatudeiing>>  [<|<|pl|age|dic|anti|ness|mp|stru|junct|in|ba|f|ng|ject|scope|ow|ea|tude|i|ing|>|>]
<<notyckateishtransizeamend>>  [<|<|no|ty|ck|ate|ish|trans|ize|a|men|d|>|>]
<<cilyceptnaizeeanomy>>  [<|<|ci|ly|cept|na|ize|ea|no|m|y|>|>]
<<important>>  [<|<|im|port|ant|>|>]
<<ma>>  [<|<|ma|>|>]
<<ntscjunctndimscopecock>>  [<|<|nt|sc|junct|nd|im|scope|c|oc|k|>|>]
<<ad>>  [<|<|ad|>|>]
<<to>>  [<|<|to|>|>]
<<re>>  [<|<|re|>|>]
<<ap>>  [<|<|ap|>|>]
<<reflexphonertibles>>  [<|<|re|flex|phon|er|ti|bl|es|>|>]
<<saiantionvertshipceptnonoria>>  [<|<|sa|ian|tion|vert|ship|cept|non|or|ia|>|>]
<<deverwidth>>  [<|<|de|ver|w|id|th|>|>]
<<en>>  [<|<|en|>|>]
<<jreiseersocstitution>>  [<|<|j|re|ise|ers|oc|st|it|ut|ion|>|>]
<<adrdtibili>>  [<|<|ad|rd|ti|bi|li|>|>]
<<payment>>  [<|<|pa|y|ment|>|>]

mit mat2 temp5 chs50:
<<maatonpreersectionctiigwdagrwacolncfuldiibleentlati>>  [<|<|ma|at|on|pre|ers|ect|ion|cti|ig|w|da|gr|wa|col|nc|ful|di|ible|ent|l|ati|>|>]
<<oing>>  [<|<|o|ing|>|>]
<<suring>>  [<|<|su|ri|ng|>|>]
<<spmectiousunousatioectboirconpigradspistionsctaryamterenpromsubpostmeterpapathmimortteeehoodstrustvepostsuhiatiadectrsckdisphonqtriidelin>>  [<|<|sp|me|ct|io|us|un|ous|atio|ect|bo|ir|con|pi|grad|sp|ist|ions|ct|ary|am|ter|en|pro|m|sub|post|meter|pa|path|mi|mort|te|ee|hood|stru|st|ve|post|su|hi|ati|ad|ect|rs|ck|dis|phon|q|tri|id|el|in|>|>]
<<ca>>  [<|<|ca|>|>]
<<authincflexcredssgphobiageenttalessbetuocnoclcomphonmnononautuniteowpelngotncesubripranticrighomscriptentai>>  [<|<|aut|hi|nc|flex|cred|ss|g|phobia|ge|ent|ta|less|be|tu|oc|no|cl|com|phon|m|non|on|aut|uni|te|ow|pel|ng|ot|nce|sub|ri|pr|anti|cr|ig|hom|script|ent|ai|>|>]
<<touchationgradarytuepmeterrost>>  [<|<|to|u|ch|ation|grad|ary|tu|ep|meter|ro|st|>|>]
<<hour>>  [<|<|h|o|ur|>|>]
<<re>>  [<|<|re|>|>]
<<caowautdigrdil>>  [<|<|ca|ow|aut|di|gr|d|il|>|>]
<<skim>>  [<|<|s|k|im|>|>]
<<compa>>  [<|<|com|pa|>|>]
<<in>>  [<|<|in|>|>]
<<btedeamenmitipsychncrtpregrhomckonfi>>  [<|<|b|ted|ea|men|mit|i|psych|nc|rt|pre|gr|hom|ck|on|fi|>|>]
<<pro>>  [<|<|pro|>|>]
<<po>>  [<|<|po|>|>]
<<ed>>  [<|<|ed|>|>]
<<in>>  [<|<|in|>|>]
<<welwagressphobiandsial>>  [<|<|w|el|wa|gress|phobia|nd|si|al|>|>]
<<unpelversceibleizeableomthtinhydrrigressstrusikeportunrntrant>>  [<|<|un|pel|vers|ce|ible|ize|able|om|th|tin|hydr|ri|gress|stru|si|ke|port|un|r|nt|r|ant|>|>]
<<gricul>>  [<|<|gr|ic|ul|>|>]
<<wtessishfulacversmentnceeri>>  [<|<|w|te|ss|ish|ful|ac|vers|ment|nce|er|i|>|>]
<<btotype>>  [<|<|b|to|ty|pe|>|>]
<<acsityscribvertlomon>>  [<|<|ac|si|ty|scrib|vert|lo|mo|n|>|>]
<<suceconbmeninterdincegaidlocapttelecalolessosplsthohoantijunctmortpant>>  [<|<|su|ce|con|b|men|inter|di|nce|ga|id|lo|capt|tele|ca|lo|less|os|pl|st|ho|ho|anti|junct|mort|pan|t|>|>]

woorm mat1 temp1 chs0:
<disonnerrepe>  [<|dis|o|n|ne|r|re|pe|>]
<milities>  [<|m|il|iti|es|>]
<futs>  [<|f|ut|s|>]
<sic>  [<|s|ic|>]
<reacts>  [<|re|ac|ts|>]
<ntiskles>  [<|n|t|is|k|les|>]
<replets>  [<|re|pl|et|s|>]
<an>  [<|an|>]
<concopete>  [<|con|co|pe|te|>]
<beragic>  [<|be|r|ag|ic|>]
<kicuron>  [<|k|ic|ur|on|>]
<radien>  [<|ra|di|en|>]
<ration>  [<|ra|tion|>]
<sha>  [<|sh|a|>]
<metradrand>  [<|me|tr|ad|ra|nd|>]
<shes>  [<|sh|es|>]
<portulness>  [<|port|ul|ness|>]
<premative>  [<|pre|ma|ti|ve|>]
<strack>  [<|st|ra|ck|>]
<bets>  [<|be|t|s|>]
<pertless>  [<|per|t|less|>]
<ticrocaphy>  [<|ti|c|ro|c|ap|hy|>]
<calends>  [<|ca|le|nd|s|>]
<scanons>  [<|sc|an|o|ns|>]
<vilenicallourdisper>  [<|vi|le|ni|cal|lo|ur|dis|per|>]

woorm mat1 temp1 chs10:
<allvirated>  [<|all|vi|rat|ed|>]
<preeerpelallivrupt>  [<|pre|eer|pel|all|iv|rupt|>]
<atgraphrd>  [<|at|graph|rd|>]
<ers>  [<|ers|>]
<tra>  [<|tra|>]
<rindiskeful>  [<|rin|dis|ke|ful|>]
<iv>  [<|iv|>]
<tude>  [<|tude|>]
<astrot>  [<|astr|ot|>]
<flecag>  [<|flec|ag|>]
<nroitition>  [<|n|ro|iti|tion|>]
<scopesub>  [<|scope|sub|>]
<ba>  [<|ba|>]
<ilins>  [<|i|lin|s|>]
<spec>  [<|spec|>]
<comted>  [<|com|ted|>]
<ouqac>  [<|ou|q|ac|>]
<allycounter>  [<|all|y|counter|>]
<laid>  [<|la|id|>]
<spphobia>  [<|sp|phobia|>]
<pan>  [<|pan|>]
<echom>  [<|ec|hom|>]
<smosiesbl>  [<|sm|os|ies|bl|>]
<pathpathumto>  [<|path|path|um|to|>]
<tesspec>  [<|tes|spec|>]

woorm mat1 temp1 chs50:
<ab>  [<|ab|>]
<ed>  [<|ed|>]
<tractsafac>  [<|tract|sa|fac|>]
<rti>  [<|r|ti|>]
<micropelor>  [<|micro|pel|or|>]
<ctid>  [<|ct|id|>]
<ma>  [<|ma|>]
<multihoodotine>  [<|multi|hood|ot|ine|>]
<antpl>  [<|ant|pl|>]
<ol>  [<|ol|>]
<ecounter>  [<|e|counter|>]
<hprmultitionous>  [<|h|pr|multi|tion|ous|>]
<aqua>  [<|aqua|>]
<transise>  [<|trans|ise|>]
<anlu>  [<|an|lu|>]
<subotyimpasscu>  [<|su|bo|ty|im|pass|cu|>]
<zeverspec>  [<|ze|ver|spec|>]
<vedch>  [<|ve|d|ch|>]
<ly>  [<|ly|>]
<scriptdic>  [<|script|dic|>]
<amrysupecu>  [<|am|ry|su|pe|cu|>]
<espre>  [<|es|pre|>]
<voliestionation>  [<|v|ol|ies|tio|n|ation|>]
<tri>  [<|tri|>]
<ation>  [<|ation|>]

woorm mat1 temp2 chs0:
<beaigneses>  [<|be|a|ig|ne|ses|>]
<ble>  [<|bl|e|>]
<undsiped>  [<|u|nd|si|p|ed|>]
<astress>  [<|astr|es|s|>]
<bashripilgrap>  [<|ba|sh|ri|p|il|gr|ap|>]
<hydratedorted>  [<|hydr|a|te|d|or|ted|>]
<bligate>  [<|bl|ig|ate|>]
<wndidives>  [<|w|nd|id|iv|es|>]
<disentolize>  [<|dis|en|to|l|iz|e|>]
<chronom>  [<|chron|om|>]
<harily>  [<|ha|ri|ly|>]
<gopherers>  [<|g|op|he|re|rs|>]
<dic>  [<|dic|>]
<lizan>  [<|li|z|an|>]
<ulasses>  [<|u|la|ss|es|>]
<lumizy>  [<|lu|mi|z|y|>]
<homoctudic>  [<|hom|oc|tu|di|c|>]
<trichicallopubencer>  [<|tri|ch|ic|all|op|u|be|nc|er|>]
<dispreprod>  [<|dis|pre|pro|d|>]
<inescranicroch>  [<|in|es|cr|an|ic|ro|ch|>]
<ometres>  [<|o|metr|es|>]
<disms>  [<|dis|ms|>]
<conspale>  [<|con|s|pa|le|>]
<wle>  [<|w|le|>]
<theriess>  [<|th|eri|es|s|>]

woorm mat1 temp2 chs10:
<poform>  [<|po|form|>]
<ized>  [<|iz|ed|>]
<passntlinutatceptot>  [<|pass|nt|lin|ut|at|cept|ot|>]
<rmagegr>  [<|rm|age|gr|>]
<linrd>  [<|lin|rd|>]
<eusot>  [<|e|us|ot|>]
<spiresudiazooscrs>  [<|spire|su|dia|zoo|sc|rs|>]
<abe>  [<|ab|e|>]
<ate>  [<|ate|>]
<ckovio>  [<|ck|ov|io|>]
<faccumoniig>  [<|fac|cu|mo|ni|ig|>]
<ce>  [<|ce|>]
<us>  [<|us|>]
<enthysie>  [<|ent|hy|s|ie|>]
<veritlinisting>  [<|ver|it|lin|ist|ing|>]
<di>  [<|di|>]
<tele>  [<|tele|>]
<tele>  [<|tele|>]
<autpoe>  [<|aut|po|e|>]
<ol>  [<|ol|>]
<atioflec>  [<|atio|flec|>]
<sa>  [<|sa|>]
<counter>  [<|counter|>]
<sa>  [<|sa|>]
<wdis>  [<|w|dis|>]

woorm mat1 temp2 chs50:
<edouruptlophot>  [<|ed|ou|rupt|lo|phot|>]
<nctergr>  [<|nc|ter|gr|>]
<ousverpitingeri>  [<|ous|ver|pi|ting|eri|>]
<ism>  [<|ism|>]
<phot>  [<|phot|>]
<imstaioopport>  [<|im|s|ta|io|op|port|>]
<si>  [<|si|>]
